,21.58,Intro
21.58,24.46,April Update Info + Milo tutorial (April 2019)
24.46,25.22,"Q&A: Early Access info, localisation, save files + more (March 2019)"
25.22,34.16,Coffee Stain are hiring a Community Manager! [BTS] (November 2018)
34.16,37.1,The REAL meaning of fear... [not clickbait] (July 2018)
37.1,45.26,Alpha Keys - Simon Saga Ep. 13 [BTS] (February 2019)
45.26,48.86,EPIC amount of Alpha Keys - Simon Saga Ep. 7 (December 2018)
48.86,58.54,End of April™ Update (May 2019)
58.54,66.84,Developer Highlight - Game Design (July 2018)
66.84,68.82,More Alpha Keys - Simon Saga Ep. 3 [BTS] (November 2018)
68.82,75.48,Alpha Keys! - Simon Saga Ep. 11 [BTS] (January 2019)
75.48,80.4,Developer Highlight - Level Design [BTS] (October 2019)
80.4,88.42,500 Alpha Keys Sent Out! - Simon Saga Ep. 2 [BTS] (October 2018)
88.42,92.16,Alpha Keys - Simon Saga Ep. 12 (February 2019)
92.16,105.12,New Community Manager - REVEALED (December 2019)
105.12,106.12,New Community Manager - REVEALED [BTS] (December 2019)
106.12,109.4,Even MORE keys! - Simon Saga Ep. 4 (November 2018)
109.4,110.44,Alpha Keys - Simon Saga Ep. 13 [BTS] (February 2019)
110.44,116.48,Alpha Key Counts
116.48,126.04,Simon Saga Finale (March 2019)
126.04,127.62,Even MORE keys! - Simon Saga Ep. 4 [BTS] (November 2018)
127.62,128.34,Bonus Experimental Bugfix patch (December 2019)
128.34,134.06,Studio Tour of Coffee Stain Studios (June 2019)
134.06,139.12,"Alpha Release Date, Selection Process + more (October 2018)"
139.12,142.38,Cyberwagon Reveal - Satisfactory (November 2019)
142.38,148.52,Developer Highlights - What kind of hardware do you use?
148.52,152.94,Coffee Stain are hiring a Community Manager! [BTS] (November 2018)
152.94,169.54,Developer Highlights - Helping Jace with programming
169.54,173.56,Developer Highlight - Concept Art (August 2018)
173.56,190.88,Update #2: Trains & Nuclear (July 2019)
190.88,194.28,Developer Highlights - Who's your favourite person in the office?
194.28,201.34,Snutt's Little Baby
201.34,216.1,Q&A: Satisfactory exclusive to Epic Games Store (December 2018)
216.1,220.56,Dev Blog #2: Conveyor Belts/Basic Production Gameplay + Alpha Key info! (November 2018)
220.56,232.76,Developer Highlight - Music/ Developer Highlight - Sound Design [BTS] (September 2018)
232.76,237.16,On the first day of Jacemas...
237.16,240.56,Studio Tour of Coffee Stain Studios (June 2019)
240.56,245.24,Studio Tour of Coffee Stain Studios [BTS] (June 2019)
245.24,250.1,Jace thinking about pipes for 1 hour [livestream]
250.1,284.4,Simon Saga Finale [BTS] (May 2019)
284.4,287.44,Q&A: Satisfactory exclusive to Epic Games Store (December 2018)
287.44,292.66,Alpha keys - Simon Saga Ep. 8 [BTS] (December 2018)
292.66,305,Developer Highlight - Level Design [BTS] (October 2019)
305,314.06,Developer Highlight - Music/ Developer Highlight - Sound Design [BTS] (September 2018)
314.06,318.02,Developer Highlight - Level Design (October 2019)
318.02,332.44,Developer Highlight - Level Design [BTS] (October 2019)
332.44,343.44,Simon Saga Finale [BTS] (May 2019)
343.44,345.8,New Community Manager - REVEALED (Deccember 2019)
345.8,359.58,Update #2: Trains & Nuclear (July 2019)
359.58,365.44,Studio Tour of Coffee Stain Studios [BTS] (June 2019)
365.44,371.18,Outro
371.18,,End Tag
